NAME,ref_G,ref_FGA,ref_FTA,ref_PF,ref_PTS,ref_FGA_pgrel,ref_FTA_pgrel,ref_PF_pgrel,ref_PTS_pgrel,ref_home_win_loss,ref_home_FGA,ref_home_FTA,ref_home_PF,ref_home_PTS,ref_away_win_loss,ref_away_FGA,ref_away_FTA,ref_away_PF,ref_away_PTS,ref_win_loss_hvrel,ref_FGA_hvrel,ref_FTA_hvrel,ref_PF_hvrel,ref_PTS_hvrel
Bennett Salvatore,1520,163.9691447,52.97671053,45.06013158,200.1646053,-0.304605263,1.666513158,0.889013158,1.183026316,0.633586184,81.92901316,27.19171053,22.23032895,101.8436184,0.366413816,82.02888158,25.79157895,22.84763158,98.34664474,0.047122368,-0.321118421,0.158947368,0.179802632,-0.008881579
Derrick Stafford,1767,165.4953028,49.98670062,43.56015846,199.6625354,0.672269383,-0.382116582,0.109394454,-0.093265422,0.618561969,82.94770798,25.54482173,21.39779287,101.5153367,0.381438031,82.54368987,24.43791737,22.15268817,98.14318053,0.026429542,0.198245614,-0.09213356,0.032314658,0.009224675
Earl Strom,131,178.5175573,51.2,41.29923664,212.9091603,2.403816794,-6.102290076,-5.603816794,-3.257251908,0.595549618,89.55725191,25.40534351,20.74580153,108.759542,0.404450382,88.9610687,25.84427481,20.55343511,104.1496183,-0.130656489,0.493129771,-2.588549618,1.392366412,-0.741984733
Jess Thompson,53,176.7226415,53.92641509,45.38867925,215.3622642,-1.045283019,-3.605660377,-1.873584906,-2.722641509,0.546773585,87.89056604,28.1509434,21.92641509,109.0075472,0.453226415,88.83207547,25.7754717,23.46226415,106.354717,-0.258132075,-1.41509434,0.075471698,-0.228301887,-2.913207547
George Toliver,731,166.8845417,53.9749658,45.97414501,202.1307798,0.154856361,1.213132695,0.750615595,0.880437756,0.64705472,83.59630643,27.91778386,22.54432285,103.2050616,0.35294528,83.29056088,26.08440492,23.43816689,98.93406293,0.054957592,0.015184679,0.464295486,-0.041586867,0.377701778
Don Vaden,851,166.573208,53.75346651,46.07215041,202.0184489,-0.178730905,0.899529965,0.732784959,0.488719154,0.615752056,83.54018801,27.46991774,22.81656874,102.8652174,0.384247944,83.02867215,26.30152761,23.26157462,99.15229142,-0.00340423,0.188484136,-0.16333725,0.392596945,-0.127967098
Greg Willard,1483,165.0610924,50.90856372,43.69352664,198.8026972,0.90836143,-0.68698584,-0.615643965,0.04045853,0.635826028,82.44558328,26.33573837,21.27828726,101.5763318,0.364173972,82.6238031,24.57612947,22.41058665,97.21631827,0.051787593,-0.448010789,0.482939987,-0.293189481,0.836210384
Tommie Wood,612,166.7341503,54.80490196,46.26568627,204.2880719,-0.828267974,0.986111111,0.550326797,0.462908497,0.655254902,83.68415033,28.40294118,22.37696078,104.6650327,0.344745098,83.05490196,26.4380719,23.87075163,99.60522876,0.070236928,0.308006536,0.469281046,-0.51503268,1.128921569
Ken Clark,1,189,55,51,243,14.7,-2,4.5,29,0,96,28,25,120,1,93,27,26,123,-1.288,3.3,-1.2,0.2,-8
Mike Costabile,160,174.7575,56.831875,45.6625,214.61625,1.069375,1.454375,-0.185,2.779375,0.63119375,87.373125,29.695625,22.31625,109.94375,0.36880625,87.415,27.13625,23.34625,104.66875,-0.0005875,-0.11625,0.500625,0.16375,0.71875
